#OTU ID	D06	G22	G29	G31	G43	H03	H05	I02	I04	I06	I14	M08	M20	P02	P14	P23	X02	Y07	Y09	Y19	Z10	B02	B08	B09	B13	B15	B19	B23	B25	A12	A20	A22	A24	C04	C14	E04	E06	E07	G27	G37	G39	K15	K27	M02	M14	P27	X04	Z06	Z07	OA11r1	OA13r1	OA7r2	OA9r1	OB03r2	OB05r2	OB18r1	OB24r1	OM15r2	OM17r2	OM21r1	OG24B2A
Sg_EB09_7	71909	20709	2368	50	3724	256	1917	8060	25684	11	2	31	11	45909	3886	307	21681	493	271	518	8242	423	2207	95353	2784	4168	164784	12834	15388	707	4676	203620	29727	220	37895	13466	38154	441	8943	5141	47182	275	2018	1403	543	242	42	735	2603	2427	45774	3980	569	422	2054	74720	12664	6553	34	24604	941
Sg_EB10_11	2674	165	197	717	179	8	116	66	121	3	1	16	658	512	7764	1963	324	6413	325	3	60	409	317	52	3	841	790	563	189	1489	61	40	81	1572	10	365	127	25	324	55	52	1889	334	843	9	880	116	4	281	183	790	162	182	2404	1635	1286	217	1	781	3296	0
Sg_EB13_4	648	338	2824	12655	2546	1096	12678	1339	1796	41759	44925	1939	1473	512	489	2166	1261	4424	628	3673	1122	5559	17940	802	1338	1960	4139	2157	30568	1589	8128	17308	12220	2426	2019	47195	5540	58337	10777	19433	17007	847	2482	1119	51888	3434	13183	66949	1162	2583	1863	3020	4792	1644	1522	1505	283	860	4434	4953	5249
Sg_EB21_10	1800	122	133	622	224	148	213	78	198	71	14	191	465	426	5320	1215	278	3589	214	180	141	336	224	103	349	958	489	521	96	1077	79	88	76	1180	168	250	178	26	282	54	95	1301	869	705	69	784	144	63	234	185	572	176	505	1765	1114	783	129	107	819	1882	73
Sg_EM03_4	0	12	0	154	13	16	3037	147	10	3	12	13	18	329	24	25	3	5	0	51	99	125	3391	128	10	21	30	13	18	111	3616	28	5	28	432	33	21	3	67	163	6302	90	24	22	11	193	43	1	514	5	223	242	1	12	8	24	12	0	19	12	4
Sg_EM03_7	70	57	155	130	357	532	902	516	173	2265	212	9544	120	1690	5953	1861	35	2512	725	24	1418	57	192	1640	413	1099	509	66	36	34	67	24	121	8282	35	156	581	2373	1357	142	49	196	50	3	66	1881	972	1899	69	108	115	236	23	2605	31	13	0	4	87	71	5
Sg_EM12_46	22	23	101	54	24	24	744	152	103	160	38	270	13	84	11	124	38	222	18	41	176	33	51	5	9	32	132	7	178	66	98	10	179	15	46	29	75	251	43	78	509	23	150	2	159	24	199	156	22	49	59	28	10	13	42	54	8	7	20	74	23
Sg_EM12_61	199	457	447	3663	672	14229	3097	1523	13036	4844	656	1979	3986	790	1246	1378	251	1951	497	4339	2463	2651	1923	1342	1895	3380	2484	1772	286	10781	21501	834	1361	3247	2764	490	12266	9592	3558	1844	1158	3714	22462	4619	5726	2335	1354	1310	1867	31764	3597	2613	4798	3134	3278	3878	1114	2994	3510	1888	4134
Sg_EM22_6	2459	3833	1400	79	3836	430	524	1385	1194	3	2	43	10	2323	640	79	1003	188	21	343	3662	770	372	14640	1075	1180	51635	7411	4438	291	260	4981	131	144	1696	3353	513	253	906	4241	4653	197	3238	1658	270	249	45	849	1055	91	2334	1938	372	1640	1479	9383	82246	347	70	1019	218
Sg_EM25_40	820	1742	1274	2108	299	327	2348	964	1145	698	6	2387	2634	547	870	1308	1804	1163	84	233	1524	503	647	1484	231	509	352	472	111	3171	793	75	641	1510	721	18	1230	583	2699	1043	1858	659	1285	1486	485	2955	1510	1534	1319	3430	3165	1818	538	2036	794	797	36	822	2543	2167	2637
