#OTU ID	E11	G33	I09	M18	B27	A02	A28	A33	A37	C02	D02	D10	D18	G02	G47	K43	M04	M16	P15	YA02	YA03	YA04	YA06	YA07	YA10	YA11	YA12	YA13	YA14	YA16	YA19	YA21	YA23	YA26	YA28	YA29	YA30	YA31	YA32	YA33	YA34	YB31	YB32	YB34	YB35	YB36	YB37	YB38	YB39	YB40	YB41	YB43	YB45	YB46	YB47	YB50	YB52	YB54	YB55	YB56	YB57	YB59	Z04	Z12	Z14
Sg_A37_36	105	699	163311	260	30	94	107	4879	14266	191	3323	79	227	467	177	160	576	146	106	369	310	536	448	631	396	510	263	433	567	3	539	176	553	102	181	489	209	1180	4434	307	904	474	1111	728	732	86	643	535	413	15	1618	1646	475	1784	197	727	580	357	923	661	2928	8495	334	837	473
Sg_B03_29	29851	1600	34214	7764	10	5630	131	308	7204	4533	60	38	1191	10244	38	5049	9636	33	79	13209	1817	31	1309	831	407	66	55	65	94	11	652	39	401	7	6	212	0	94	1016	1101	5643	235	1028	17	3612	38	52	21	736	4	1349	23	132	1554	395	1849	13	54	8753	303	4025	36	13522	12589	8237
Sg_B03_38	148	2	4	4301	1	5263	3	25	2	4	6	2	32	14024	15	315	3262	14	3	157	255	0	20	1020	2	2039	2	42	18	0	2	15	3	0	227	1	2	4072	3082	8448	6	0	29	7	1715	723	2	62	1	1	233	3	5	11265	776	42706	273	17	15506	526	3145	2195	8717	678	80
Sg_B04_2	2165	1346	2329	6502	734	5266	3716	103	142	8012	61031	8178	23378	1276	2641	4451	13757	4682	48060	11481	34282	534	110315	19968	69513	52134	32886	51501	1462	153	30154	58742	35384	804	14724	123696	91	39429	181235	48204	244924	51157	28718	59926	48514	772	513	61400	16447	273	85236	26647	150308	8582	5379	39847	62100	84535	58795	84637	42572	109494	719	8435	24467
Sg_B07_12	460	3659	1998	9356	57	2801	258	3	5233	2332	331	548	56	1428	271	1247	267	14	3544	696	252	3	30	196	85	12	27	52	33	0	93	7	145	18	195	19	6	1160	256	294	49	5	37	43	3441	291	556	0	19	8	77	36	252	4602	46	406	3	9	617	25	37	106	268	184	233
Sg_B07_38	24	286	581	93	96	616	56	359	3152	143	293	30	291	446	99	418	161	422	154	155	192	193	146	206	102	267	1354	403	62	1013	123	198	123	135	71	246	550	264	268	433	247	203	215	126	399	553	781	380	259	322	544	420	273	165	129	154	80	184	367	166	124	196	66	339	1819
Sg_B07_50	226	55	58	434	4	65	42	33	139	26	19	0	17	113	2	49	303	9	16	68	58	64	79	21	43	80	12	38	33	15	84	5	44	11	19	71	0	47	41	143	24	56	38	53	165	33	50	6	34	5	31	49	42	204	44	101	19	28	84	35	37	15	54	73	530
Sg_B07_53	448	11931	1746	336	89	452	544	469	8299	28484	739	9944	2242	718	5892	2818	216	42	1397	608	991	13	24	115	62	22	807	374	252	1	3337	9	132	39	9754	25	4	1632	124	449	118	48	57	12	4078	7887	551	25	5	1665	83	2506	102	206	32	661	3	6	259	19	68	2785	1746	21291	126490
Sg_B07_62	9	104	373	23	10	30	45	202	29360	486	2660	402	36	543	604	734	27	3	177	101	180	6	7	26	23	8	62	25	12	0	7	4	4	1	197	6	2	174	89	35	25	25	9	10	220	35	1456	2	8	19	14	9	32	15	1	23	10	7	30	3	3	131	61	194	17
Sg_B08_36	61	1839	10658	207	503	377	413	101	7358	2160	10985	1803	242	21633	1433	67277	9891	38	32966	10270	653	524	372	2442	754	605	533	1314	159	7	397	399	591	155	2235	236	1	563	278	7635	405	598	213	575	1121	617	5615	554	460	87	725	64	246	477	300	3459	155	130	619	517	218	932	307	177	3783
