	rab.all	rab.win.C	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_G21_58	-1.25928461421219	-1.66993630397815	-0.595668745449409	1.10154661077526	3.10829796390793	0.313555232563903	0.358086999060596	0.00955229495062503	0.0130404074710689	0.00164743074661889	0.00252026604479335
Sg_G22_16	0.79458077957052	1.54153501609086	-0.459304565981125	-2.12042481779654	4.31377620364046	-0.456108529034265	0.30136986414887	0.0000243213051929446	0.0000518210748484356	0.0000130496896494331	0.0000288095980379718
Sg_G26_10	-0.101401098518997	1.82466348258169	-2.54032744924703	-3.85072841373539	5.17822818917099	-0.682177292493737	0.237740386357583	0.00000000115537785712093	0.00000000421741249280841	0.0000000101871986899567	0.0000000397864827991084
Sg_G26_22	-1.94963875524914	-1.03988981805228	-2.69120616946476	-1.77542458213922	3.63996454648534	-0.441064034414443	0.305048078030151	0.0000242255502881246	0.0000513639486823454	0.0000274874170706499	0.0000564943184239441
Sg_G29_33	-1.75140287438544	-2.32960690574099	-0.439701046496769	1.36049877950517	4.32270944925305	0.284376153954813	0.367940399625841	0.00885465941709964	0.012336963911818	0.00325578392935272	0.00471044709069248
Sg_G33_7	-0.458699783748401	0.154969061912879	-0.983191251307279	-1.28022855505499	2.55495945542081	-0.448067810877634	0.297284307824667	0.00000879519456214464	0.0000205823366668608	0.0000107071374822086	0.0000241349276579449
Sg_G39_28	1.83352897958359	3.15794548489072	0.445694235662207	-2.67470758519441	5.93276835567709	-0.417598405623185	0.315144231800321	0.0000238918495941216	0.0000508107074910117	0.0000429911490726129	0.000084655199509201
Sg_G43_29	-2.23392400619366	-1.68822960074478	-3.15817379782626	-1.4588160147764	3.36546703632256	-0.377421610100675	0.322999279993441	0.00124371627590579	0.00202340712493765	0.000120561955838567	0.000216797192179866
Sg_G47_17	-1.45788641053014	-1.86680942273925	-0.946358336121697	0.943540583905867	3.30178961984643	0.248744966569916	0.367940399625841	0.00935628555145525	0.0129805606120466	0.00276249057005322	0.00405658343871828
Sg_H04_45	1.25486680665738	1.16173159587607	1.36933484172094	0.564259547263128	3.10330355253425	0.158130981991824	0.432211538794079	0.150004319328519	0.177787097731892	0.110250144418956	0.129839903854502
Sg_I05_27	1.98180577042718	3.83955780723278	0.0468287204439868	-3.28138861505835	3.77649791326057	-0.842097871096468	0.18360971174428	0.000000000000000451118080767002	0.0000000000000108367143154241	0.00000000000378034302344761	0.0000000000369080091126365
Sg_I06_25	-0.368852979428063	-1.02895731865943	1.21398412877742	2.60374691655022	3.17895853840128	0.781089771136235	0.186778848636332	0.00000000000126214294449026	0.00000000000960151647383799	0.00000000000763478856426855	0.0000000000680738744411242
Sg_I07_11	3.68037363369508	3.94461650531279	2.14668286356603	-2.06973837063722	4.61726908491899	-0.424122598990067	0.319634704194323	0.0000926165850850837	0.000174943736552796	0.0000726981845748671	0.000136276292025527
Sg_I12_32	1.48249518112228	1.5809434049707	1.18678334069862	-0.170692158226114	1.57858585941727	-0.0995185420560848	0.446046623670576	0.492467825247329	0.518602460969067	0.243437826527278	0.272117423092627
Sg_I12_44	-0.0718942839847383	1.23831042351501	-3.07007573810286	-3.99616900055655	4.16848434198434	-0.915895422782282	0.156490387748189	0.0000000000000269270100563483	0.000000000000226373540095819	0.0000000000000594256941108971	0.00000000000127481249894725
Sg_I12_6	-0.11372148870781	-0.647420041592347	0.820388169494325	1.09400443134534	3.32212237351947	0.309377775585262	0.368421053312	0.00795261219468723	0.0111836624553665	0.00333316768945868	0.00481265464970392
Sg_K01_5	-0.891548530314908	-1.25046797216764	0.148472046880677	1.08507234878654	3.61527611075544	0.264608860575408	0.383801971271325	0.044998456781383	0.0576894011353243	0.00917636149827366	0.0124842970714485
Sg_K09_1	-0.544979463770936	-1.36168628407777	1.07844000845598	2.22016038182433	2.67292476885922	0.751797157231031	0.188701925524812	0.00000000000459253031059554	0.000000000031078630473958	0.00000000000663728578042044	0.0000000000604222605768759
Sg_K09_61	0.437506098814368	1.01002528574863	-0.735662887072513	-1.88739445653959	4.47270040757422	-0.394741402624727	0.324038462505561	0.000123028455412404	0.000227189169988275	0.0000578038708574218	0.000110407149268767
Sg_K10_28	-2.90253511581884	-3.36351855230983	-2.25991661288385	-0.127346117934671	7.0961768622057	-0.0153492456482439	0.493150684964479	0.840597085757017	0.850645298101774	0.915077541326229	0.921552735660835
