	rab.all	rab.win.C	rab.win.E	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_A27_31	1.48471919560382	0.730252792333363	3.32432460796113	2.36858258745173	4.03331109608318	0.557706315126937	0.27842882052651	0.000000126166084682381	0.00000835048811265205	0.000000313378585294028	0.0000224701723709278
Sg_A28_8	-0.499617674816173	-0.803414754390904	-0.0165446855714668	0.291985301608955	6.18269220312648	0.0484499146083168	0.478081597308408	0.8059365147918	0.852757960149837	0.651100615025054	0.725703719655818
Sg_B03_29	2.04405037442742	2.22658855116177	1.57908306927679	-1.12824768570983	5.1812475747358	-0.209162536059249	0.408114558845608	0.0300881547130008	0.0536879097682504	0.0472406170723494	0.0826017292505341
Sg_B04_2	1.47118458988993	0.204942749580191	3.06597208601999	2.48319646589467	4.28464867816979	0.548673202376648	0.279670211530408	0.000000325893048887431	0.00000963711094414651	0.000000571248987267328	0.0000228126904142181
Sg_B07_38	-0.742360687625436	-0.704878734367777	-0.775112170035998	-0.393420906639613	2.7301174137897	-0.123308515579898	0.438923844894992	0.0696204153600768	0.109086450542242	0.156634716876161	0.222342785471039
Sg_B07_50	-1.759776470857	-0.646291970365405	-3.01431067747822	-1.78764357385851	4.44848684353745	-0.36525446637661	0.330006509758145	0.0000268021327734783	0.000175830250421886	0.000115112559803285	0.000669034129023742
Sg_B07_53	1.34737714825869	1.84321864762383	0.541195637328132	-1.88663475718196	5.27225302773805	-0.331331049007507	0.353655891276609	0.000648711915970939	0.00223406211763768	0.00101702024579463	0.00377007260535621
Sg_B07_62	-2.26907894522382	-1.67542108875412	-3.00244511868024	-1.32623187699792	4.1412823537515	-0.301817127934096	0.365589065441424	0.00206454657902833	0.00587225713558923	0.00233133418559423	0.00706882854019314
Sg_B08_36	-0.0599117958774178	-0.114029968074572	0.0344387192363733	0.0275455225882535	2.81330596375284	0.00838640236136661	0.495552180533831	0.887626487955042	0.917559858246059	0.905137335126503	0.9286367691869
Sg_B14_1	-2.55482907769457	-2.83624216044959	-1.91407097494887	1.09962306447864	5.97917102290015	0.167357016625474	0.427951389177646	0.115926347862028	0.170678076351602	0.0929687581871136	0.146788330330061
Sg_B14_13	0.67526652682667	0.592181869679818	0.845377171660936	0.246477636429891	4.14604895383485	0.0528602152943823	0.473638533408105	0.622890533596233	0.695025419792927	0.577241529690293	0.657961922608457
Sg_B15_22	-1.31802262834071	-1.62636153520462	-1.13664426197291	0.757773079956049	5.14129054574835	0.130997443826543	0.43511284748124	0.0450235986017306	0.0750794521774182	0.149461697348294	0.214438646190195
Sg_B15_23	1.94354496425067	1.92834774209256	1.97490487097119	-0.0810125035402538	3.28693287509608	-0.0261670800058986	0.48914930559816	0.837787373567808	0.88146582385895	0.856279735488664	0.892939481599735
Sg_B15_35	-1.63353202362091	-2.42034244727274	-0.436015029672947	1.99013700116258	3.91653018554067	0.454807816529258	0.265407987291668	0.000000350650031958858	0.00000990540063561971	0.000000169244150986537	0.000022301939894581
Sg_B15_52	-1.1945208208893	-1.37642919856529	-0.80253972898603	0.604090710500299	5.05676993500863	0.115597508187355	0.452809720299609	0.197023651244211	0.271342078540751	0.246289399825336	0.322292764467254
Sg_B19_58	-1.48996902735517	-0.930568135885546	-2.37565490484437	-1.22275673902692	3.31009687540885	-0.354972500535077	0.342447917353155	0.0000451738883447587	0.000253969449570086	0.000259911612136073	0.00126843887925125
Sg_B25_10	-1.48596036098288	-1.86738054262847	-1.31313272284628	0.818335744940186	3.5426793395785	0.194400319527082	0.403341289176718	0.00346063651780539	0.00890525947427182	0.0239169790062725	0.0459679894458464
Sg_B25_38	0.125513048337251	0.543224081254041	-0.202098805831429	-0.467776948689166	3.30967422374897	-0.134613720659512	0.440104166905155	0.0998214647980876	0.151164427898017	0.148534698960962	0.213383796916605
Sg_B27_18	0.0205173318332488	-0.299386196959829	0.383854045309446	0.701278618185554	3.16992186233529	0.19916476730796	0.409416359664435	0.0287126768840765	0.0516596833981365	0.0254301434766427	0.0483249750562075
Sg_B27_6	-0.527037180106475	-1.23199557850809	0.248255298997025	1.30815995281002	4.35850447599704	0.277833000241783	0.381644608866772	0.00590052728930454	0.0139429940140759	0.00738709424821015	0.0183709377843211
Sg_C03_36	-0.262415678742463	-0.0824403684942707	-0.47479879029149	-0.352694145736682	3.51537151203678	-0.0886444561299829	0.457366023166955	0.44465007734827	0.528165675390265	0.373129158910495	0.452303306256262
Sg_CA11_3	2.49442418240177	2.26725638437518	3.07625391064809	0.569020485588519	3.73378543170284	0.145597388224027	0.436971143666305	0.208721197258723	0.284819236001917	0.205402597627134	0.276719675705502
Sg_CA11_52	0.228444676412914	0.016062166596595	1.06479037251321	1.27487136910448	6.15983298177434	0.187324451388445	0.41493055589937	0.0090364834552351	0.0197928822378537	0.0446467159549999	0.0787127521100549
Sg_CA13_9	0.511893529969739	0.545865694444524	0.438059551292219	-0.102278521393436	3.14238731511946	-0.0283410373601773	0.486545138941732	0.523639267540767	0.602318447216282	0.76293165654587	0.818572892543337
Sg_CA25_14	-0.736331450393989	-0.0803712653952458	-1.30502837166271	-0.985154016448575	4.66881216529292	-0.203358964211102	0.394097222657368	0.000479891476078549	0.00174087761958	0.0122823146069319	0.0274074713722638
Sg_CA25_21	1.43747249875742	1.98396580271126	0.119921097052129	-1.44821129980384	3.66958008900405	-0.371916557390953	0.339843750700409	0.00019814995028919	0.00084182488077235	0.000356318803552642	0.00164041801581393
Sg_CA40A_55	-3.40637591687854	-2.88711808831155	-4.13464694757149	-1.50313665854003	6.5352756408564	-0.23910034277406	0.363064236692105	0.000099755644621094	0.00048753541087633	0.00164915809671769	0.00534793397229628
Sg_CA9_20	1.93004471451866	1.18024074404612	2.98527909618161	1.55447789344643	3.60338357177098	0.416378586122115	0.321327837644478	0.0000438281003647239	0.000247334752875179	0.0000743719808719728	0.000476821017206897
Sg_CB03_44	-5.89563389312337	-6.01542094511818	-5.59872966067885	0.474755870409706	5.02236733600789	0.0758792306869073	0.460286458490182	0.614257425726483	0.67881300100062	0.354755863836462	0.431511424582409
Sg_CD23A_32	1.48918167774246	2.45199621927137	0.615479479733448	-1.41772581684557	3.17419120261728	-0.411368470174278	0.313151042519	0.0000355231636569151	0.00021173991846985	0.0000190587888631108	0.000173889480838991
Sg_CD24A_10	-0.956878448690833	-0.598797970387027	-1.56244537909939	-0.610965904067432	3.64769145568363	-0.154758295446481	0.4299045141695	0.175428540575941	0.245953396972037	0.113751006828474	0.173239933231272
Sg_CD25A_53	-3.84068202998662	-3.48866219267395	-4.44833516519584	-0.946917157457331	4.50314222329327	-0.185814243012427	0.403124322373593	0.0616556725293584	0.0980744554034724	0.0374991815883174	0.067293734133515
Sg_CD26A_19	0.904777920210995	1.12779036839985	0.362613722302366	-0.819901683462763	4.0836756357923	-0.183802787705355	0.418311998593506	0.0294298618961888	0.0526835733911726	0.0675508842973984	0.112714081068254
Sg_CD30A_34	0.0389266561572814	0.18514322454598	-0.474449175322922	-0.957436427521442	3.32270749972072	-0.265815420645048	0.388888889347607	0.0104742745032079	0.0224828819814231	0.0119234282490814	0.0268692054214426
Sg_CE19A_15	2.24436796001765	2.71080818447212	1.41754761206385	-0.963914724692954	3.53943863171656	-0.231777082096799	0.383029514374527	0.0249944848510246	0.046261011867495	0.00796293341083125	0.0195326349583488
Sg_CE19A_24	0.744608893237153	1.17194329433436	0.316690110577385	-0.70132496601086	2.87457195858111	-0.224108900583436	0.393794749839658	0.033414557903725	0.0583971018609631	0.0232973067704547	0.0449731766044155
Sg_CE19A_29	-0.246821930240993	-0.0148181638727403	-0.65077007835489	-0.742057445076795	4.19096069553192	-0.154587124937173	0.428726405145454	0.0514223111871308	0.0844013273176207	0.121646469140082	0.18259283959569
Sg_CE19A_36	1.87453782607737	1.82909684934373	1.94009583797519	0.0772830218243774	1.48767740944828	0.0476127819842008	0.478081597308408	0.508497988291402	0.587963645627803	0.590630161985098	0.670371987683655
Sg_CG50A_49	-1.72268151196093	-1.57568098998986	-2.01621858012023	-0.0842885506975435	4.74866662771823	-0.0163951945399066	0.492187500030668	0.843897571304214	0.882196089592451	0.832327645111673	0.872704511852075
Sg_CG50A_74	1.00821241443638	1.20832272273649	0.738238800712982	-0.48326884792063	4.07947832267411	-0.107124758799513	0.451724886283587	0.259784368725804	0.343381021489248	0.235654345637346	0.310439002279585
Sg_CK05A_18	3.13205750382483	3.39990255246281	2.64407127450462	-0.783003720561507	3.30337631227392	-0.236671664329623	0.396398351476937	0.0174322862229166	0.0345282399971227	0.02033537191436	0.0405566019606374
Sg_CK05A_46	0.424728531234787	0.886287159341175	-0.0203487349986409	-0.983175587458657	2.98210212522708	-0.305612596602483	0.353298611741085	0.000277616608077052	0.00110367169850531	0.000995000152826195	0.00369021087087511
Sg_CK05A_56	-0.391961352406046	-0.461576191529308	-0.321466767570831	0.25374308565403	2.31068527224251	0.0896509170694543	0.454545454725253	0.139018675497604	0.201732590693047	0.326840189451944	0.404582017662816
Sg_CK28A_36	-1.85617145033008	-1.82644334823987	-1.90068465046946	-0.410530721058414	4.53321682611675	-0.0844645602254427	0.455946180729801	0.289936581704357	0.376488381462029	0.36786249243039	0.446371662418516
Sg_CK52A_43	-0.845306937816597	0.40200443067086	-2.10183034106823	-1.68242015577515	4.51026910555823	-0.356217596464368	0.358940972823692	0.000359220195939259	0.00136882281030887	0.00106931369387834	0.00389879358410982
Sg_CK52A_74	0.166848553443921	0.845821636253906	-0.32939466565971	-1.25294831018395	4.08159750271008	-0.285244488869483	0.367187500560802	0.00160768806559595	0.00488321637904205	0.00274419358542445	0.00807871787333067
Sg_CM17_16	-3.12241501614653	-3.81162953982106	-2.52106795261793	0.520401919287399	5.42431257721505	0.0911764487231472	0.459318724395843	0.436290566184711	0.517495977690391	0.334049070504261	0.412286669325801
Sg_CM17_58	0.233528606350235	1.70858335261558	-2.06036287534663	-1.09158024723475	7.53551973720757	-0.163119095944113	0.420789930874425	0.0211671726521056	0.0404493208335925	0.0881524174785538	0.140638000176079
