	rab.all	rab.win.C	rab.win.L	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_CE19A_36	1.7689418274329	1.8343682182312	1.55797372744368	-0.369414194258699	1.47120963360053	-0.221322107879082	0.396414853344341	0.101725041152217	0.175536406276271	0.0301874900161746	0.0665632213421007
Sg_CG50A_49	-1.49935442076455	-1.57114195108427	-1.29041119935762	0.551799264237865	4.69201361837866	0.110197595457249	0.45070422562415	0.300679219773114	0.417876728515991	0.25225610894958	0.366961987856137
Sg_CG50A_74	0.777685929414091	1.20811183491447	0.319513129914089	-0.828323303003123	4.36970908514517	-0.167964091049298	0.419462228364781	0.188116080591558	0.293099908823557	0.107549770456002	0.189885708952878
Sg_CK05A_18	3.13687106420834	3.39922119433217	2.5995498219153	-0.750405480617508	3.32451961264337	-0.212756623832012	0.410092213622763	0.154081049207025	0.250849893471214	0.0522990830078625	0.104122720276883
Sg_CK05A_46	0.336552145400439	0.872535484539164	-0.262220882008587	-1.18148708219096	3.07588747327617	-0.375981179418516	0.324711908902648	0.00000996512859867864	0.000111290023060724	0.000184297823281837	0.00129531648565953
Sg_CK05A_56	-0.26329398144345	-0.464641014479417	0.165558126706011	0.612271471807709	2.26358701388825	0.243182567806423	0.385659411670856	0.00807215073667161	0.0236385185454031	0.0137800008421482	0.0354712303038013
Sg_CK28A_36	-2.27556866137584	-1.84910422611971	-3.04986018662753	-0.893607022779023	4.42572400054973	-0.187032627557034	0.405121639462317	0.0536673840193574	0.106470539963813	0.0352878672384002	0.0754513781598201
Sg_CK52A_43	-0.882569107914303	0.398618428326408	-2.28970785490146	-2.43400329500168	4.47932286901176	-0.496261581103522	0.299103714497441	0.00000233792115977931	0.0000313809285328469	0.0000247841486877834	0.000281595262029166
Sg_CK52A_74	-0.00909478803043395	0.84360997030985	-1.22409409191175	-1.2959362586739	4.32550695608068	-0.269238053808666	0.371157787639812	0.0169679910196365	0.0426063972968787	0.004813632660153	0.0162713825625121
Sg_CM17_16	-2.11368957097611	-3.79881709754982	-1.07588856700952	2.03950116884532	5.64301655826053	0.322972526285356	0.356466069996959	0.00936485792939409	0.0247579465432883	0.00250857064804612	0.01000016034432
Sg_CM17_58	-2.16624040578488	1.71363086913967	-3.31011154517875	-3.83467749254345	6.34848542663872	-0.55957969392886	0.308578746424203	0.00000000637076336000159	0.000000349965468889161	0.0000416312529880496	0.000404030509853375
Sg_CM17_7	1.02944564172299	1.96308555634413	-0.278000210643311	-2.18277972615516	3.54792407701598	-0.563255129000638	0.283226633981244	0.0000000145169753634456	0.000000552390655844493	0.00000227013221872542	0.0000587484268287663
Sg_CM21_57	1.21936981872522	1.19812017975615	1.2921956225017	-0.330784581081123	3.8734130495653	-0.0767163870503075	0.470799180488075	0.368304901829657	0.489558034665484	0.479285002923558	0.590622221500395
Sg_CM29A_16	-0.814379355397078	-0.328706327477788	-2.02621610173468	-1.27293314212265	4.23671158750605	-0.285342876643834	0.36696542971966	0.00269219705617538	0.00996051191051717	0.00355970531111401	0.0130530126184746
Sg_CM31A_43	-1.55876765509236	-1.89812934727265	-1.11729823182562	0.797630184727047	5.22466680461523	0.139432738238771	0.437387964496143	0.0621222415665543	0.118411182854255	0.145589103193731	0.237542779747602
Sg_CM31A_52	0.675580559366123	0.785704818560693	-0.0912376793092982	-0.674626622157488	3.5423347535812	-0.18222132020717	0.419313525043123	0.047698134585671	0.0980980471181238	0.0883417915743982	0.163228949912727
