	MAG	Group	RA
125	Sg_B07_53	Young	0.00207108369470075
126	Sg_K36_3	Young	0.00118544639097432
127	Sg_E06_10	Young	0.000161823951780413
128	Sg_Z03_24	Young	0.00149231767894396
129	Sg_CK52A_43	Young	0.000194303852897159
130	Sg_B07_50	Young	0.0000341910070184897
131	Sg_K40_4	Young	0.000527611727048742
132	Sg_CA25_21	Young	0.000677706825648109
133	Sg_G18_1	Young	0.000447290860470047
134	Sg_B26_4	Young	0.00013829624563143
135	Sg_CM17_7	Young	0.000331814545364606
136	Sg_G09_4	Young	0.00172650585485995
137	Sg_CM32A_26	Young	0.00067809571335305
138	Sg_G18_19	Young	0.000983784782699662
139	Sg_M07_39	Young	0.000135644031483726
140	Sg_I05_27	Young	0.000934862709417974
