	rab.all	rab.win.E	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_CA25_14	-1.70940634311892	-1.30007728518052	-1.86478889954327	-0.65323555982859	2.78811972631076	-0.205224914952732	0.395913462062384	0.0057275247616812	0.0402433355716725	0.0357466623214945	0.163289503000861
Sg_CA25_21	-0.330309349487725	0.118028822987499	-0.892854240781749	-1.1446936904374	4.01881940449649	-0.275702096240892	0.37923576125172	0.0111717286766402	0.0674413553971141	0.0167907354825396	0.098786163598841
Sg_CA40A_55	-4.4945260523939	-4.13495646061248	-4.77612037435304	-0.754677148180219	3.75738694742775	-0.188856677253582	0.390771449722945	0.00629085986650888	0.0432679691848464	0.026641869739639	0.13086144170343
Sg_CA9_20	4.02534608181606	2.98842653064826	4.24360854281152	1.33150873884582	3.22705039313921	0.40354569519622	0.329807693234633	0.00038075189059218	0.00465726329423956	0.000922513151168076	0.00805537531267658
Sg_CB03_44	-5.34442667734885	-5.57921781282657	-5.21498570099726	0.643580982416364	5.07657065711095	0.104577368997652	0.440625000290003	0.118406624643133	0.381166614926132	0.229953416635084	0.669178255506394
Sg_CD23A_32	0.77796676274427	0.610685088056657	0.875438083737904	0.113676152931748	2.63387087318696	0.0376479905049808	0.477048786460134	0.970794043725086	1	0.654092969051257	1
Sg_CD24A_10	-1.89710575193106	-1.55654594058306	-2.26687465430953	-0.636658455338805	3.62039014955133	-0.158835827042168	0.432932692636566	0.119828943593148	0.432715363363265	0.180647003357608	0.55167438045828
Sg_CD25A_53	-5.07229561010578	-4.44985172145237	-5.47082886322854	-0.905584866316372	4.62085587864563	-0.16172373447663	0.418269231173602	0.113129265290022	0.393352835052299	0.113493037825922	0.379140110077434
Sg_CD26A_19	-0.614739327430147	0.354560889196688	-1.31901253620785	-1.92980321978459	4.59862600836834	-0.395741701031238	0.324759616346639	0.000463148306171208	0.0107045183195987	0.00035795505710461	0.0113856139448315
Sg_CD30A_34	-1.10579880587135	-0.477530866499469	-1.79882888541784	-0.704194311025687	3.96769868541886	-0.170680578796163	0.426682692668502	0.184683209868347	0.588264097413173	0.170282963003076	0.529100080049965
Sg_CE19A_15	0.66296843795963	1.41526054251836	-0.338280927571483	-1.40909549906122	4.10714203822396	-0.310155330353028	0.357366018531511	0.0171802180599468	0.0924443845966536	0.00341707752109487	0.030971100805428
Sg_CE19A_24	0.0685329844876614	0.313295062095135	-0.238517699594512	-0.370046829736593	2.88214447153847	-0.125220373577645	0.440384615675827	0.274508031557434	0.766914788712373	0.212787097545629	0.624831218209
Sg_CE19A_29	-1.37365761764291	-0.644196279873971	-2.72869348315484	-1.83591545053358	4.7212827623838	-0.351460007133657	0.339822158994182	0.00281521748653299	0.0260361825010631	0.000950873925067009	0.0159656228861694
Sg_CE19A_36	2.0329666385254	1.93737189324653	2.12512994229683	0.0637391975028976	1.65565400915462	0.0336126983623837	0.483297284387138	0.85336441447951	1	0.714911161090403	1
Sg_CG50A_49	-2.09329971378933	-2.01153932949	-2.2269253858165	-0.228631484747433	5.02882635932276	-0.0424076658846939	0.482211538547306	0.459663318587339	0.967998307750058	0.610182636982245	1
Sg_CG50A_74	0.111605957106049	0.739182751956128	-1.16616001827375	-1.73034850933082	4.53540067169523	-0.355714165732955	0.332612353707148	0.00229078671134105	0.0240283229133681	0.000878749824509117	0.0155990179246004
Sg_CK05A_18	1.43833239937097	2.65097894845519	0.657295236740658	-1.70301433264725	3.54760552275323	-0.462884017111316	0.313701924118642	0.000182486143581804	0.00800885126102567	0.000152101458964705	0.0079727413077825
Sg_CK05A_46	-0.445715769882976	-0.0191667076716637	-0.703653459341877	-0.654383549296001	1.93505259555845	-0.294758495816242	0.359769286961837	0.000507805181601554	0.0119153506626061	0.00420170485411529	0.0353812531652731
Sg_CK05A_56	0.0452035281708332	-0.322433039820341	0.62091409195168	0.88573663101415	2.0196931179148	0.36056680075992	0.32668269325626	0.0130332557553093	0.0577181028004159	0.000597292034384711	0.00603142650070431
Sg_CK28A_36	-2.39982831684629	-1.90146206440318	-2.65532544981825	-0.349787620108357	3.93513528123439	-0.0869558471846418	0.458303292679865	0.238214242854965	0.698095656036818	0.37614323256095	0.942980967220674
Sg_CK52A_43	-2.65317938559821	-2.09843118862291	-3.15167460159933	-1.02736579430983	3.29412930988723	-0.287380831120746	0.35649038536848	0.00293742950693428	0.0270067141424795	0.00592294674590785	0.0456536309312387
