ID	Domain	Phylum	Class	Order	Family	Genus	Species
Gp_YAB_16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas sp900556835
Gp_YAB_18	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__UMGS124	g__JAHZGC01	s__JAHZGC01 sp019421015
Gp_YAB_194	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Terrisporobacter	s__Terrisporobacter sp022782605
Gp_YAB_207	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_I	s__Eubacterium_I sp900557275
Gp_YAB_215	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_G	s__Eubacterium_G sp000434315
Gp_YAB_216	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Vagococcaceae	g__Vagococcus	s__Vagococcus martis
Gp_YAB_22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__UMGS1820	s__UMGS1820 sp900545865
Gp_YAB_221	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1071	s__UMGS1071 sp934476545
Gp_YAB_229	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Scatomonas	s__Scatomonas hejianensis
Gp_YAB_244	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__JAGZHZ01	s__
Gp_YAB_246	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium durum
Gp_YAB_258	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio fairfieldensis
Gp_YAB_270	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter sp019418195
Gp_YAB_290	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__QAMH01	g__CACZQA01	s__CACZQA01 sp902783175
